sentence,sentiment,date
So there is no way for me to plug it in here in the US unless I go by a converter.,negative,2025-02-19 14:33:42.034613
"Good case, Excellent value.",positive,2024-12-09 14:33:42.034613
Great for the jawbone.,positive,2025-04-28 14:33:42.034613
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative,2025-04-07 14:33:42.034613
The mic is great.,positive,2025-04-18 14:33:42.034613
I have to jiggle the plug to get it to line up right to get decent volume.,negative,2025-03-16 14:33:42.034613
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",negative,2025-04-14 14:33:42.034613
If you are Razr owner...you must have this!,positive,2025-01-01 14:33:42.034613
"Needless to say, I wasted my money.",negative,2025-05-19 14:33:42.034613
What a waste of money and time!.,negative,2025-04-23 14:33:42.034613
And the sound quality is great.,positive,2024-12-02 14:33:42.034613
He was very impressed when going from the original battery to the extended battery.,positive,2025-02-08 14:33:42.034613
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative,2025-05-20 14:33:42.034613
Very good quality though,positive,2024-12-24 14:33:42.034613
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative,2025-01-26 14:33:42.034613
Highly recommend for any one who has a blue tooth phone.,positive,2025-03-10 14:33:42.034613
I advise EVERYONE DO NOT BE FOOLED!,negative,2025-02-06 14:33:42.034613
So Far So Good!.,positive,2025-04-12 14:33:42.034613
Works great!.,positive,2025-03-22 14:33:42.034613
It clicks into place in a way that makes you wonder how long that mechanism would last.,negative,2024-12-08 14:33:42.034613
"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative,2025-03-02 14:33:42.034613
I bought this to use with my Kindle Fire and absolutely loved it!,positive,2025-04-05 14:33:42.034613
The commercials are the most misleading.,negative,2025-03-14 14:33:42.034613
I have yet to run this new battery below two bars and that's three days without charging.,positive,2025-01-08 14:33:42.034613
I bought it for my mother and she had a problem with the battery.,negative,2025-03-23 14:33:42.034613
Great Pocket PC / phone combination.,positive,2025-05-01 14:33:42.034613
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive,2025-04-30 14:33:42.034613
I didn't think that the instructions provided were helpful to me.,negative,2025-04-19 14:33:42.034613
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative,2024-12-16 14:33:42.034613
Doesn't hold charge.,negative,2025-01-04 14:33:42.034613
"This is a simple little phone to use, but the breakage is unacceptible.",negative,2025-04-07 14:33:42.034613
This product is ideal for people like me whose ears are very sensitive.,positive,2025-04-26 14:33:42.034613
It is unusable in a moving car at freeway speed.,negative,2025-05-06 14:33:42.034613
I have two more years left in this contract and I hate this phone.,negative,2025-05-12 14:33:42.034613
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive,2024-12-14 14:33:42.034613
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative,2025-02-07 14:33:42.034613
It has kept up very well.,positive,2025-02-01 14:33:42.034613
Poor Talk Time Performance.,negative,2025-02-23 14:33:42.034613
The case is great and works fine with the 680.,positive,2025-01-29 14:33:42.034613
worthless product.,negative,2024-12-18 14:33:42.034613
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",positive,2025-05-04 14:33:42.034613
I was not impressed by this product.,negative,2025-03-13 14:33:42.034613
Nice headset priced right.,positive,2025-04-23 14:33:42.034613
I only hear garbage for audio.,negative,2025-04-16 14:33:42.034613
Excellent bluetooth headset.,positive,2025-02-10 14:33:42.034613
It has all the features I want,positive,2025-01-12 14:33:42.034613
Who in their right mind is gonna buy this battery?.,negative,2025-01-17 14:33:42.034613
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative,2025-01-10 14:33:42.034613
This case seems well made.,positive,2025-04-25 14:33:42.034613
Disappointed with battery.,negative,2024-12-02 14:33:42.034613
Not loud enough and doesn't turn on like it should.,negative,2025-01-18 14:33:42.034613
good protection and does not make phone too bulky.,positive,2025-03-09 14:33:42.034613
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive,2025-03-14 14:33:42.034613
This phone is pretty sturdy and I've never had any large problems with it.,positive,2025-02-09 14:33:42.034613
I love this thing!,positive,2025-03-14 14:33:42.034613
Everything about it is fine and reasonable for the price i.e.,positive,2025-02-03 14:33:42.034613
VERY DISAPPOINTED.,negative,2025-03-20 14:33:42.034613
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive,2025-04-26 14:33:42.034613
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive,2024-12-31 14:33:42.034613
The buttons for on and off are bad.,negative,2025-05-05 14:33:42.034613
